customer_id,email,recency,frequency,monetary,total_orders,total_items,gross_revenue,average_order_value,average_quantity,unique_products,customer_lifetime_days,days_since_first_purchase,average_days_between_orders,max_days_between_orders,cancellation_count,cancellation_rate,cancelled_revenue,country,recent_spend_90d,historical_spend_prior,spend_trend,order_frequency_trend,recent_order_count_90d,recency_acceleration,spending_momentum,product_diversity_ratio,cancellation_revenue_ratio,purchase_frequency_rate
10001,customer_10001@example.com,14,15,3916.0,15,1266,3916.0,261.07,84.4,21,143,157,10.22,27.91,0,0.0,0.0,United Kingdom,2185.42,1730.58,1.2621,0.4375,7,1.2477,1.2621,0.0166,0.0,0.1042
10002,customer_10002@example.com,0,15,2790.6699999999996,15,1080,2790.6699999999996,186.04,72.0,20,119,120,8.57,38.81,0,0.0,0.0,United Kingdom,1414.51,1376.16,1.0271,0.5625,9,0.0,1.0271,0.0185,0.0,0.125
10003,customer_10003@example.com,13,22,6143.35,22,1836,6143.35,279.24,83.45,26,144,157,6.86,32.74,2,0.0833,13.55,France,5246.59,896.76,5.8441,0.7391,17,1.6541,5.8441,0.0142,0.0022,0.1517
10004,customer_10004@example.com,4,16,2916.4500000000007,16,1174,2916.4500000000007,182.28,73.38,26,164,168,10.95,28.03,0,0.0,0.0,United Kingdom,2092.68,823.77,2.5373,0.5882,10,0.3348,2.5373,0.0221,0.0,0.097
10005,customer_10005@example.com,6,20,4194.31,20,1528,4194.31,209.72,76.4,27,147,153,7.75,23.05,0,0.0,0.0,United Kingdom,1812.45,2381.86,0.7606,0.4286,9,0.6859,0.7606,0.0177,0.0,0.1351
10006,customer_10006@example.com,0,21,5348.610000000001,21,1751,5348.610000000001,254.7,83.38,29,143,143,7.15,40.75,0,0.0,0.0,United Kingdom,2210.62,3137.99,0.7042,0.4091,9,0.0,0.7042,0.0166,0.0,0.1458
10007,customer_10007@example.com,29,17,4219.87,17,1625,4219.87,248.23,95.59,26,130,159,8.13,19.01,0,0.0,0.0,United Kingdom,2123.59,2096.28,1.0125,0.5556,10,3.1778,1.0125,0.016,0.0,0.1298
10008,customer_10008@example.com,11,20,5420.26,20,1767,5420.26,271.01,88.35,28,144,155,7.58,18.09,2,0.0909,7.13,United Kingdom,4032.79,1387.47,2.9045,0.619,13,1.2817,2.9045,0.0158,0.0013,0.1379
10009,customer_10009@example.com,23,12,3266.3999999999996,12,1064,3266.3999999999996,272.2,88.67,20,146,170,13.34,32.0,1,0.0769,11.9,United Kingdom,1484.8,1781.6,0.8329,0.3846,5,1.6043,0.8329,0.0188,0.0036,0.0816
10010,customer_10010@example.com,0,22,4978.349999999999,22,1885,4978.349999999999,226.29,85.68,28,158,158,7.55,22.89,1,0.0435,6.6,United Kingdom,3675.24,1303.11,2.8182,0.6522,15,0.0,2.8182,0.0148,0.0013,0.1384
10011,customer_10011@example.com,27,21,5787.850000000001,21,1812,5787.850000000001,275.61,86.29,26,130,157,6.51,20.18,2,0.087,7.55,United Kingdom,2394.84,3393.01,0.7056,0.3636,8,3.5946,0.7056,0.0143,0.0013,0.1603
10012,customer_10012@example.com,10,18,3637.6000000000004,18,1426,3637.6000000000004,202.09,79.22,27,135,146,7.99,25.98,0,0.0,0.0,United Kingdom,2603.74,1033.86,2.516,0.6842,13,1.112,2.516,0.0189,0.0,0.1324
10013,customer_10013@example.com,17,20,4508.549999999999,20,1475,4508.549999999999,225.43,73.75,26,147,164,7.74,28.33,1,0.0476,51.0,United Kingdom,2315.34,2193.21,1.0552,0.4286,9,1.9444,1.0552,0.0176,0.0113,0.1351
10014,customer_10014@example.com,7,22,4456.950000000001,22,1827,4456.950000000001,202.59,83.05,25,156,164,7.46,22.79,3,0.12,6.7,United Kingdom,2303.51,2153.44,1.0692,0.5652,13,0.8271,1.0692,0.0137,0.0015,0.1401
10015,customer_10015@example.com,15,22,4144.59,22,1527,4144.59,188.39,69.41,27,147,162,7.0,31.98,1,0.0435,2.95,United Kingdom,2875.31,1269.28,2.2635,0.6087,14,1.8748,2.2635,0.0177,0.0007,0.1486
10016,customer_10016@example.com,131,8,1349.1899999999998,8,571,1349.1899999999998,168.65,71.38,17,30,162,4.41,10.16,2,0.2,14.4,United Kingdom,0.0,1349.19,0.0,0.0,0,24.2055,0.0,0.0297,0.0107,0.2581
10017,customer_10017@example.com,96,9,2084.7200000000003,9,826,2084.7200000000003,231.64,91.78,23,66,162,8.28,18.93,0,0.0,0.0,United Kingdom,0.0,2084.72,0.0,0.0,0,10.3402,0.0,0.0278,0.0,0.1343
10018,customer_10018@example.com,104,11,4189.24,11,1330,4189.24,380.84,120.91,23,62,166,6.22,20.23,0,0.0,0.0,France,0.0,4189.24,0.0,0.0,0,14.4048,0.0,0.0173,0.0,0.1746
10019,customer_10019@example.com,113,12,2865.9100000000003,12,1068,2865.9100000000003,238.83,89.0,25,53,166,4.84,12.13,1,0.0769,1.65,United Kingdom,0.0,2865.91,0.0,0.0,0,19.3411,0.0,0.0234,0.0006,0.2222
10020,customer_10020@example.com,118,6,1002.5,6,479,1002.5,167.08,79.83,13,35,153,7.05,17.86,0,0.0,0.0,United Kingdom,0.0,1002.5,0.0,0.0,0,14.6576,0.0,0.0271,0.0,0.1667
10021,customer_10021@example.com,104,12,3374.6200000000003,12,1141,3374.6200000000003,281.22,95.08,22,41,146,3.81,9.89,0,0.0,0.0,United Kingdom,0.0,3374.62,0.0,0.0,0,21.6371,0.0,0.0193,0.0,0.2857
10022,customer_10022@example.com,129,10,2753.96,10,970,2753.96,275.4,97.0,20,39,168,4.37,16.66,0,0.0,0.0,United Kingdom,0.0,2753.96,0.0,0.0,0,24.03,0.0,0.0206,0.0,0.25
10023,customer_10023@example.com,127,8,2076.92,8,798,2076.92,259.62,99.75,19,21,148,3.0,9.09,1,0.1111,17.85,United Kingdom,0.0,2076.92,0.0,0.0,0,31.7343,0.0,0.0238,0.0086,0.3636
10024,customer_10024@example.com,107,10,2110.98,10,882,2110.98,211.1,88.2,20,30,137,3.36,6.97,1,0.0909,3.8,EIRE,0.0,2110.98,0.0,0.0,0,24.5585,0.0,0.0227,0.0018,0.3226
10025,customer_10025@example.com,116,6,1095.45,6,510,1095.45,182.58,85.0,15,33,150,6.79,11.94,0,0.0,0.0,United Kingdom,0.0,1095.45,0.0,0.0,0,14.8845,0.0,0.0294,0.0,0.1765
10026,customer_10026@example.com,140,9,2443.42,9,779,2443.42,271.49,86.56,22,34,174,4.27,19.16,2,0.1818,9.9,United Kingdom,0.0,2443.42,0.0,0.0,0,26.5845,0.0,0.0282,0.0041,0.2571
10027,customer_10027@example.com,122,8,1340.74,8,531,1340.74,167.59,66.38,18,42,164,6.01,17.12,0,0.0,0.0,United Kingdom,0.0,1340.74,0.0,0.0,0,17.416,0.0,0.0338,0.0,0.186
10028,customer_10028@example.com,106,6,880.1600000000001,6,369,880.1600000000001,146.69,61.5,14,38,145,7.76,19.19,0,0.0,0.0,United Kingdom,0.0,880.16,0.0,0.0,0,12.0949,0.0,0.0378,0.0,0.1538
10029,customer_10029@example.com,92,6,1957.9099999999999,6,645,1957.9099999999999,326.32,107.5,16,74,166,14.86,39.11,0,0.0,0.0,Germany,0.0,1957.91,0.0,0.0,0,5.8006,0.0,0.0248,0.0,0.08
10030,customer_10030@example.com,100,9,2733.01,9,838,2733.01,303.67,93.11,22,68,169,8.62,15.18,0,0.0,0.0,United Kingdom,0.0,2733.01,0.0,0.0,0,10.394,0.0,0.0262,0.0,0.1304
10031,customer_10031@example.com,43,7,328.5799999999999,7,95,328.5799999999999,46.94,13.57,13,111,155,18.63,35.67,0,0.0,0.0,United Kingdom,161.89,166.69,0.9654,0.5,4,2.1903,0.9654,0.1354,0.0,0.0625
10032,customer_10032@example.com,8,8,206.73,8,105,206.73,25.84,13.12,11,120,129,17.28,42.08,1,0.1111,8.32,United Kingdom,152.94,53.79,2.7914,0.6667,6,0.4377,2.7914,0.1038,0.0401,0.0661
10033,customer_10033@example.com,22,4,146.8,4,52,146.8,36.7,13.0,8,94,116,31.39,60.92,0,0.0,0.0,United Kingdom,144.87,1.93,49.4437,0.6,3,0.6793,49.4437,0.1509,0.0,0.0421
10034,customer_10034@example.com,39,7,277.65,7,105,277.65,39.66,15.0,9,96,135,16.0,44.18,0,0.0,0.0,United Kingdom,211.66,65.99,3.1596,0.625,5,2.2939,3.1596,0.0849,0.0,0.0722
10035,customer_10035@example.com,57,7,330.28,7,99,330.28,47.18,14.14,14,86,143,14.37,41.78,0,0.0,0.0,United Kingdom,48.94,281.34,0.1733,0.375,3,3.7073,0.1733,0.14,0.0,0.0805
10036,customer_10036@example.com,23,6,307.44,6,107,307.44,51.24,17.83,12,104,127,20.81,56.88,0,0.0,0.0,United Kingdom,173.88,133.56,1.2922,0.5714,4,1.0543,1.2922,0.1111,0.0,0.0571
10037,customer_10037@example.com,37,7,403.75,7,105,403.75,57.68,15.0,13,93,130,15.52,30.9,0,0.0,0.0,EIRE,112.71,291.04,0.3859,0.375,3,2.2393,0.3859,0.1226,0.0,0.0745
10038,customer_10038@example.com,52,4,127.55,4,64,127.55,31.89,16.0,10,95,148,31.98,74.11,0,0.0,0.0,United Kingdom,98.43,29.12,3.2679,0.4,2,1.5767,3.2679,0.1538,0.0,0.0417
10039,customer_10039@example.com,29,5,132.76999999999998,5,45,132.76999999999998,26.55,9.0,6,66,95,16.57,31.2,1,0.1667,4.95,Germany,67.13,65.64,1.0074,0.5,3,1.6509,1.0074,0.1304,0.037,0.0746
10040,customer_10040@example.com,7,7,308.07000000000005,7,91,308.07000000000005,44.01,13.0,11,122,129,20.35,83.03,0,0.0,0.0,United Kingdom,172.97,135.1,1.2709,0.5,4,0.3279,1.2709,0.1196,0.0,0.0569
10041,customer_10041@example.com,42,4,110.72999999999999,4,40,110.72999999999999,27.68,10.0,6,94,137,31.65,53.93,0,0.0,0.0,United Kingdom,96.71,14.02,6.4387,0.6,3,1.2865,6.4387,0.1463,0.0,0.0421
10042,customer_10042@example.com,48,8,276.71,8,90,276.71,34.59,11.25,10,77,125,11.03,28.11,2,0.2,12.85,United Kingdom,208.89,67.82,3.0353,0.5556,5,3.9916,3.0353,0.1099,0.0463,0.1026
10043,customer_10043@example.com,39,4,372.39,4,75,372.39,93.1,18.75,8,103,142,34.35,65.7,0,0.0,0.0,United Kingdom,248.01,124.38,1.9781,0.4,2,1.1031,1.9781,0.1053,0.0,0.0385
10044,customer_10044@example.com,14,5,80.04,5,37,80.04,16.01,7.4,4,133,147,33.3,54.99,0,0.0,0.0,United Kingdom,42.76,37.28,1.117,0.5,3,0.4082,1.117,0.1053,0.0,0.0373
10045,customer_10045@example.com,14,4,159.99,4,50,159.99,40.0,12.5,6,127,141,42.36,65.87,0,0.0,0.0,United Kingdom,88.09,71.9,1.2084,0.4,2,0.3229,1.2084,0.1176,0.0,0.0312
10046,customer_10046@example.com,30,4,174.85000000000002,4,62,174.85000000000002,43.71,15.5,9,100,131,33.58,46.88,0,0.0,0.0,United Kingdom,70.65,104.2,0.6716,0.4,2,0.8676,0.6716,0.1429,0.0,0.0396
10047,customer_10047@example.com,58,8,219.21,8,60,219.21,27.4,7.5,10,66,124,9.45,26.15,0,0.0,0.0,United Kingdom,89.62,129.59,0.6863,0.4444,4,5.5519,0.6863,0.1639,0.0,0.1194
10048,customer_10048@example.com,20,6,270.96999999999997,6,93,270.96999999999997,45.16,15.5,13,130,151,26.15,37.98,0,0.0,0.0,United Kingdom,164.05,106.92,1.5201,0.5714,4,0.7366,1.5201,0.1383,0.0,0.0458
10049,customer_10049@example.com,51,6,175.74999999999997,6,89,175.74999999999997,29.29,14.83,11,97,149,19.54,40.95,0,0.0,0.0,United Kingdom,25.12,150.63,0.1657,0.2857,2,2.4831,0.1657,0.1222,0.0,0.0612
10050,customer_10050@example.com,21,3,58.62,3,46,58.62,19.54,15.33,5,87,108,43.59,44.15,0,0.0,0.0,United Kingdom,51.34,7.28,6.2005,0.5,2,0.471,6.2005,0.1064,0.0,0.0341
10051,customer_10051@example.com,13,6,129.57,6,54,129.57,21.59,9.0,10,117,131,23.58,65.74,0,0.0,0.0,EIRE,37.8,91.77,0.4075,0.2857,2,0.5289,0.4075,0.1818,0.0,0.0508
10052,customer_10052@example.com,56,8,306.32,8,103,306.32,38.29,12.88,11,82,138,11.73,24.9,0,0.0,0.0,United Kingdom,72.32,234.0,0.3077,0.3333,3,4.3999,0.3077,0.1058,0.0,0.0964
10053,customer_10053@example.com,38,3,49.120000000000005,3,22,49.120000000000005,16.37,7.33,5,53,91,26.63,42.15,0,0.0,0.0,United Kingdom,40.23,8.89,4.0677,0.5,2,1.3752,4.0677,0.2174,0.0,0.0556
10054,customer_10054@example.com,33,3,448.34000000000003,3,74,448.34000000000003,149.45,24.67,8,118,151,59.09,94.1,0,0.0,0.0,United Kingdom,228.02,220.32,1.0303,0.5,2,0.5492,1.0303,0.1067,0.0,0.0252
10055,customer_10055@example.com,49,4,112.25,4,50,112.25,28.06,12.5,8,68,118,22.92,39.36,0,0.0,0.0,United Kingdom,46.07,66.18,0.6858,0.4,2,2.0482,0.6858,0.1569,0.0,0.058
10056,customer_10056@example.com,28,4,107.33,4,58,107.33,26.83,14.5,6,93,121,31.07,48.01,0,0.0,0.0,United Kingdom,70.28,37.05,1.847,0.4,2,0.873,1.847,0.1017,0.0,0.0426
10057,customer_10057@example.com,29,5,223.71,5,69,223.71,44.74,13.8,10,102,131,25.52,61.91,0,0.0,0.0,United Kingdom,38.03,185.68,0.2037,0.3333,2,1.0936,0.2037,0.1429,0.0,0.0485
10058,customer_10058@example.com,9,3,32.76,3,20,32.76,10.92,6.67,4,53,63,26.97,44.95,0,0.0,0.0,United Kingdom,32.76,0.0,32.76,0.75,3,0.3217,32.76,0.1905,0.0,0.0556
10059,customer_10059@example.com,8,3,88.59,3,45,88.59,29.53,15.0,4,105,114,52.94,99.72,0,0.0,0.0,United Kingdom,42.28,46.31,0.8937,0.5,2,0.1483,0.8937,0.087,0.0,0.0283
10060,customer_10060@example.com,73,3,74.85000000000002,3,44,74.85000000000002,24.95,14.67,6,84,158,42.45,69.08,0,0.0,0.0,United Kingdom,39.53,35.32,1.0884,0.5,2,1.6801,1.0884,0.1333,0.0,0.0353
10061,customer_10061@example.com,36,4,96.99000000000001,4,42,96.99000000000001,24.25,10.5,4,102,139,34.28,73.94,0,0.0,0.0,United Kingdom,55.33,41.66,1.297,0.4,2,1.0203,1.297,0.093,0.0,0.0388
10062,customer_10062@example.com,28,6,218.31999999999996,6,80,218.31999999999996,36.39,13.33,10,93,122,18.79,32.87,0,0.0,0.0,United Kingdom,177.57,40.75,4.2532,0.5714,4,1.415,4.2532,0.1235,0.0,0.0638
10063,customer_10063@example.com,64,3,148.74,3,51,148.74,49.58,17.0,5,23,87,11.65,15.27,0,0.0,0.0,United Kingdom,148.74,0.0,148.74,0.75,3,5.0603,148.74,0.0962,0.0,0.125
10064,customer_10064@example.com,38,3,80.35,3,35,80.35,26.78,11.67,4,94,133,47.46,89.93,0,0.0,0.0,United Kingdom,29.04,51.31,0.5552,0.25,1,0.7841,0.5552,0.1111,0.0,0.0316
10065,customer_10065@example.com,40,6,112.07,6,55,112.07,18.68,9.17,7,88,128,17.6,54.85,1,0.1429,2.5,United Kingdom,68.68,43.39,1.5472,0.1429,1,2.1505,1.5472,0.125,0.0221,0.0674
10066,customer_10066@example.com,14,8,273.01,8,109,273.01,34.13,13.62,12,71,85,10.16,18.18,1,0.1111,5.8,United Kingdom,273.01,0.0,273.01,0.8889,8,1.2548,273.01,0.1091,0.0212,0.1111
10067,customer_10067@example.com,29,4,167.24,4,60,167.24,41.81,15.0,9,97,127,32.59,60.92,1,0.2,14.85,United Kingdom,44.28,122.96,0.3572,0.2,1,0.8635,0.3572,0.1475,0.0883,0.0408
10068,customer_10068@example.com,38,4,86.9,4,71,86.9,21.73,17.75,7,91,129,30.35,67.92,0,0.0,0.0,United Kingdom,54.28,32.62,1.6145,0.4,2,1.2122,1.6145,0.0972,0.0,0.0435
10069,customer_10069@example.com,48,8,258.43,8,148,258.43,32.3,18.5,14,77,125,11.03,35.88,1,0.1111,6.76,Germany,124.93,133.5,0.9288,0.3333,3,3.9915,0.9288,0.094,0.0261,0.1026
10070,customer_10070@example.com,41,8,295.08,8,91,295.08,36.88,11.38,10,77,119,11.14,24.99,0,0.0,0.0,United Kingdom,162.84,132.24,1.2222,0.6667,6,3.3765,1.2222,0.1087,0.0,0.1026
10071,customer_10071@example.com,126,1,32.51,1,17,32.51,32.51,17.0,3,0,126,0.0,0.0,0,0.0,0.0,United Kingdom,0.0,32.51,0.0,0.0,0,126.0,0.0,0.1667,0.0,1.0
10072,customer_10072@example.com,137,3,187.21,3,45,187.21,62.4,15.0,6,0,137,0.03,0.04,0,0.0,0.0,France,0.0,187.21,0.0,0.0,0,132.4916,0.0,0.1304,0.0,3.0
10073,customer_10073@example.com,138,1,174.39000000000001,1,24,174.39000000000001,174.39,24.0,3,0,138,0.0,0.0,0,0.0,0.0,United Kingdom,0.0,174.39,0.0,0.0,0,138.0,0.0,0.12,0.0,1.0
10074,customer_10074@example.com,123,1,28.14,1,14,28.14,28.14,14.0,3,0,123,0.0,0.0,0,0.0,0.0,France,0.0,28.14,0.0,0.0,0,123.0,0.0,0.2,0.0,1.0
