Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,Email,ExpiryWithinDays
540394,22086,PAPER CHAIN KIT 50'S CHRISTMAS,21,2011-01-03 13:39:00,2.8,10026,United Kingdom,customer_10026@example.com,
540394,84879,ASSORTED COLOUR BIRD ORNAMENT,25,2011-01-03 13:39:00,1.77,10026,United Kingdom,customer_10026@example.com,90
540395,22197,POPCORN HOLDER,7,2011-01-05 16:40:00,0.81,10026,United Kingdom,customer_10026@example.com,2
540395,22138,BAKING SET 9 PIECE RETROSPOT,48,2011-01-05 16:40:00,4.46,10026,United Kingdom,customer_10026@example.com,90
540396,82482,WOODEN PICTURE FRAME WHITE FINISH,14,2011-01-06 14:55:00,2.68,10026,United Kingdom,customer_10026@example.com,
540396,22666,RECIPE BOX PANTRY DESIGN,41,2011-01-06 14:55:00,2.95,10026,United Kingdom,customer_10026@example.com,
540396,21931,JUMBO STORAGE BAG SUKI,17,2011-01-06 14:55:00,2.29,10026,United Kingdom,customer_10026@example.com,
540396,21754,HOME BUILDING BLOCK WORD,44,2011-01-06 14:55:00,6.55,10026,United Kingdom,customer_10026@example.com,
540397,22383,LUNCH BAG SUKI DESIGN,11,2011-01-07 15:33:00,1.57,10026,United Kingdom,customer_10026@example.com,15
540397,21212,PACK OF 72 RETROSPOT CAKE CASES,32,2011-01-07 15:33:00,0.55,10026,United Kingdom,customer_10026@example.com,15
540397,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,15,2011-01-07 15:33:00,0.29,10026,United Kingdom,customer_10026@example.com,
540397,21931,JUMBO STORAGE BAG SUKI,6,2011-01-07 15:33:00,2.08,10026,United Kingdom,customer_10026@example.com,
540397,21754,HOME BUILDING BLOCK WORD,25,2011-01-07 15:33:00,6.25,10026,United Kingdom,customer_10026@example.com,
540151,22699,ROSES REGENCY TEACUP AND SAUCER,46,2011-01-07 16:19:00,2.66,10009,United Kingdom,customer_10009@example.com,
540151,22960,JAM MAKING SET WITH JARS,25,2011-01-07 16:19:00,4.68,10009,United Kingdom,customer_10009@example.com,15
C540398,22383,Manual Return / Cancel LUNCH BAG SUKI DESIGN,-3,2011-01-07 21:33:00,1.65,10026,United Kingdom,customer_10026@example.com,
540399,21754,HOME BUILDING BLOCK WORD,44,2011-01-08 13:30:00,5.95,10026,United Kingdom,customer_10026@example.com,
540399,22697,GREEN REGENCY TEACUP AND SAUCER,33,2011-01-08 13:30:00,2.66,10026,United Kingdom,customer_10026@example.com,
