Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,Email,ProductExpiryDate,invoice,stock_code,description,quantity,invoice_date,price,country,email,product_expiry_date,customer_id,is_cancelled,revenue
540394,22086,PAPER CHAIN KIT 50'S CHRISTMAS,21,2011-01-03 13:39:00,2.8,10026,United Kingdom,customer_10026@example.com,,540394,22086,PAPER CHAIN KIT 50'S CHRISTMAS,21,2011-01-03 13:39:00,2.8,United Kingdom,customer_10026@example.com,,10026,False,58.8
540394,84879,ASSORTED COLOUR BIRD ORNAMENT,25,2011-01-03 13:39:00,1.77,10026,United Kingdom,customer_10026@example.com,2011-08-15,540394,84879,ASSORTED COLOUR BIRD ORNAMENT,25,2011-01-03 13:39:00,1.77,United Kingdom,customer_10026@example.com,2011-08-15,10026,False,44.25
540395,22197,POPCORN HOLDER,7,2011-01-05 16:40:00,0.81,10026,United Kingdom,customer_10026@example.com,2011-07-10,540395,22197,POPCORN HOLDER,7,2011-01-05 16:40:00,0.81,United Kingdom,customer_10026@example.com,2011-07-10,10026,False,5.67
540395,22138,BAKING SET 9 PIECE RETROSPOT,48,2011-01-05 16:40:00,4.46,10026,United Kingdom,customer_10026@example.com,2011-08-10,540395,22138,BAKING SET 9 PIECE RETROSPOT,48,2011-01-05 16:40:00,4.46,United Kingdom,customer_10026@example.com,2011-08-10,10026,False,214.07999999999998
540396,82482,WOODEN PICTURE FRAME WHITE FINISH,14,2011-01-06 14:55:00,2.68,10026,United Kingdom,customer_10026@example.com,,540396,82482,WOODEN PICTURE FRAME WHITE FINISH,14,2011-01-06 14:55:00,2.68,United Kingdom,customer_10026@example.com,,10026,False,37.52
540396,22666,RECIPE BOX PANTRY DESIGN,41,2011-01-06 14:55:00,2.95,10026,United Kingdom,customer_10026@example.com,,540396,22666,RECIPE BOX PANTRY DESIGN,41,2011-01-06 14:55:00,2.95,United Kingdom,customer_10026@example.com,,10026,False,120.95
540396,21931,JUMBO STORAGE BAG SUKI,17,2011-01-06 14:55:00,2.29,10026,United Kingdom,customer_10026@example.com,,540396,21931,JUMBO STORAGE BAG SUKI,17,2011-01-06 14:55:00,2.29,United Kingdom,customer_10026@example.com,,10026,False,38.93
540396,21754,HOME BUILDING BLOCK WORD,44,2011-01-06 14:55:00,6.55,10026,United Kingdom,customer_10026@example.com,,540396,21754,HOME BUILDING BLOCK WORD,44,2011-01-06 14:55:00,6.55,United Kingdom,customer_10026@example.com,,10026,False,288.2
540397,22383,LUNCH BAG SUKI DESIGN,11,2011-01-07 15:33:00,1.57,10026,United Kingdom,customer_10026@example.com,2011-07-25,540397,22383,LUNCH BAG SUKI DESIGN,11,2011-01-07 15:33:00,1.57,United Kingdom,customer_10026@example.com,2011-07-25,10026,False,17.27
540397,21212,PACK OF 72 RETROSPOT CAKE CASES,32,2011-01-07 15:33:00,0.55,10026,United Kingdom,customer_10026@example.com,2011-07-18,540397,21212,PACK OF 72 RETROSPOT CAKE CASES,32,2011-01-07 15:33:00,0.55,United Kingdom,customer_10026@example.com,2011-07-18,10026,False,17.6
540397,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,15,2011-01-07 15:33:00,0.29,10026,United Kingdom,customer_10026@example.com,,540397,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,15,2011-01-07 15:33:00,0.29,United Kingdom,customer_10026@example.com,,10026,False,4.35
540397,21931,JUMBO STORAGE BAG SUKI,6,2011-01-07 15:33:00,2.08,10026,United Kingdom,customer_10026@example.com,,540397,21931,JUMBO STORAGE BAG SUKI,6,2011-01-07 15:33:00,2.08,United Kingdom,customer_10026@example.com,,10026,False,12.48
540397,21754,HOME BUILDING BLOCK WORD,25,2011-01-07 15:33:00,6.25,10026,United Kingdom,customer_10026@example.com,,540397,21754,HOME BUILDING BLOCK WORD,25,2011-01-07 15:33:00,6.25,United Kingdom,customer_10026@example.com,,10026,False,156.25
540151,22699,ROSES REGENCY TEACUP AND SAUCER,46,2011-01-07 16:19:00,2.66,10009,United Kingdom,customer_10009@example.com,,540151,22699,ROSES REGENCY TEACUP AND SAUCER,46,2011-01-07 16:19:00,2.66,United Kingdom,customer_10009@example.com,,10009,False,122.36000000000001
540151,22960,JAM MAKING SET WITH JARS,25,2011-01-07 16:19:00,4.68,10009,United Kingdom,customer_10009@example.com,2011-08-30,540151,22960,JAM MAKING SET WITH JARS,25,2011-01-07 16:19:00,4.68,United Kingdom,customer_10009@example.com,2011-08-30,10009,False,117.0
C540398,22383,Manual Return / Cancel LUNCH BAG SUKI DESIGN,-3,2011-01-07 21:33:00,1.65,10026,United Kingdom,customer_10026@example.com,,C540398,22383,Manual Return / Cancel LUNCH BAG SUKI DESIGN,-3,2011-01-07 21:33:00,1.65,United Kingdom,customer_10026@example.com,,10026,True,-4.949999999999999
540399,21754,HOME BUILDING BLOCK WORD,44,2011-01-08 13:30:00,5.95,10026,United Kingdom,customer_10026@example.com,,540399,21754,HOME BUILDING BLOCK WORD,44,2011-01-08 13:30:00,5.95,United Kingdom,customer_10026@example.com,,10026,False,261.8
540399,22697,GREEN REGENCY TEACUP AND SAUCER,33,2011-01-08 13:30:00,2.66,10026,United Kingdom,customer_10026@example.com,,540399,22697,GREEN REGENCY TEACUP AND SAUCER,33,2011-01-08 13:30:00,2.66,United Kingdom,customer_10026@example.com,,10026,False,87.78
540399,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2011-01-08 13:30:00,2.68,10026,United Kingdom,customer_10026@example.com,2011-07-20,540399,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2011-01-08 13:30:00,2.68,United Kingdom,customer_10026@example.com,2011-07-20,10026,False,67.0
540399,22178,VICTORIAN GLASS HANGING T-LIGHT,29,2011-01-08 13:30:00,1.38,10026,United Kingdom,customer_10026@example.com,2011-07-28,540399,22178,VICTORIAN GLASS HANGING T-LIGHT,29,2011-01-08 13:30:00,1.38,United Kingdom,customer_10026@example.com,2011-07-28,10026,False,40.019999999999996
540399,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,6,2011-01-08 13:30:00,0.28,10026,United Kingdom,customer_10026@example.com,,540399,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,6,2011-01-08 13:30:00,0.28,United Kingdom,customer_10026@example.com,,10026,False,1.6800000000000002
540425,20728,LUNCH BAG CARS BLUE,19,2011-01-08 14:56:00,1.81,10030,United Kingdom,customer_10030@example.com,2011-08-01,540425,20728,LUNCH BAG CARS BLUE,19,2011-01-08 14:56:00,1.81,United Kingdom,customer_10030@example.com,2011-08-01,10030,False,34.39
540425,21034,REX CASH+CARRY JUMBO SHOPPER,26,2011-01-08 14:56:00,0.85,10030,United Kingdom,customer_10030@example.com,,540425,21034,REX CASH+CARRY JUMBO SHOPPER,26,2011-01-08 14:56:00,0.85,United Kingdom,customer_10030@example.com,,10030,False,22.099999999999998
540425,22383,LUNCH BAG SUKI DESIGN,17,2011-01-08 14:56:00,1.73,10030,United Kingdom,customer_10030@example.com,2011-07-25,540425,22383,LUNCH BAG SUKI DESIGN,17,2011-01-08 14:56:00,1.73,United Kingdom,customer_10030@example.com,2011-07-25,10030,False,29.41
540425,20727,LUNCH BAG BLACK SKULL.,31,2011-01-08 14:56:00,1.81,10030,United Kingdom,customer_10030@example.com,2011-08-05,540425,20727,LUNCH BAG BLACK SKULL.,31,2011-01-08 14:56:00,1.81,United Kingdom,customer_10030@example.com,2011-08-05,10030,False,56.11
